datetime,open,high,low,close,range,body,direction,tickvol,spread
2026-02-05 04:45:00,4896.91,4899.41,4871.13,4876.3,28.28,20.61,BEAR,1274,4
2026-02-05 04:46:00,4876.56,4886.99,4874.29,4875.91,12.7,0.65,BEAR,1219,4
2026-02-05 04:47:00,4875.71,4875.77,4839.88,4841.79,35.89,33.92,BEAR,1217,4
2026-02-05 04:48:00,4841.63,4868.06,4833.31,4833.46,34.75,8.17,BEAR,1328,4
2026-02-05 04:49:00,4833.46,4857.72,4830.81,4852.49,26.91,19.03,BULL,1249,4
2026-02-05 04:50:00,4852.35,4854.22,4840.3,4843.07,13.92,9.28,BEAR,1337,4
2026-02-05 04:51:00,4843.08,4846.21,4811.17,4815.55,35.04,27.53,BEAR,1370,4
2026-02-05 04:52:00,4815.55,4822.44,4805.1,4816.43,17.34,0.88,BULL,1317,4
2026-02-05 04:53:00,4816.51,4843.81,4816.51,4840.73,27.3,24.22,BULL,1219,4
2026-02-05 04:54:00,4840.73,4850.74,4834.78,4845.73,15.96,5.0,BULL,1192,4
2026-02-05 04:55:00,4845.73,4846.43,4832.74,4846.18,13.69,0.45,BULL,983,4
2026-02-05 04:56:00,4845.85,4854.26,4842.95,4846.92,11.31,1.07,BULL,1089,4
2026-02-05 04:57:00,4846.92,4847.5,4830.77,4840.85,16.73,6.07,BEAR,1087,4
2026-02-05 04:58:00,4841.3,4842.95,4827.03,4827.71,15.92,13.59,BEAR,1087,4
2026-02-05 04:59:00,4827.71,4827.99,4807.14,4811.91,20.85,15.8,BEAR,1248,4
2026-02-05 05:00:00,4812.06,4812.17,4788.86,4794.48,23.31,17.58,BEAR,1421,4
2026-02-05 05:01:00,4794.2,4813.51,4793.73,4805.69,19.78,11.49,BULL,1234,4
2026-02-05 05:02:00,4805.73,4821.8,4805.44,4813.56,16.36,7.83,BULL,1198,4
2026-02-05 05:03:00,4813.59,4836.05,4813.59,4833.55,22.46,19.96,BULL,1057,4
2026-02-05 05:04:00,4833.35,4844.45,4825.13,4837.44,19.32,4.09,BULL,1067,4
2026-02-05 05:05:00,4837.44,4844.89,4832.66,4838.47,12.23,1.03,BULL,1033,4
2026-02-05 05:06:00,4838.47,4848.16,4832.32,4848.02,15.84,9.55,BULL,978,4
2026-02-05 05:07:00,4848.06,4848.34,4832.57,4837.09,15.77,10.97,BEAR,1076,4
2026-02-05 05:08:00,4837.08,4840.65,4826.98,4840.43,13.67,3.35,BULL,1153,4
2026-02-05 05:09:00,4840.43,4848.16,4834.49,4846.9,13.67,6.47,BULL,1148,4
2026-02-05 05:10:00,4846.9,4858.26,4846.57,4854.81,11.69,7.91,BULL,1114,4
2026-02-05 05:11:00,4854.82,4856.48,4846.87,4854.23,9.61,0.59,BEAR,953,4
2026-02-05 05:12:00,4854.64,4856.43,4842.16,4849.12,14.27,5.52,BEAR,1063,4
2026-02-05 05:13:00,4849.12,4858.37,4848.63,4852.06,9.74,2.94,BULL,905,4
2026-02-05 05:14:00,4851.89,4855.82,4843.96,4847.16,11.86,4.73,BEAR,1041,4
2026-02-05 05:15:00,4847.17,4848.32,4835.01,4836.76,13.31,10.41,BEAR,1116,4
2026-02-05 05:16:00,4836.71,4847.84,4833.24,4844.83,14.6,8.12,BULL,1029,4
2026-02-05 05:17:00,4844.83,4856.22,4843.93,4855.22,12.29,10.39,BULL,858,4
2026-02-05 05:18:00,4855.22,4857.02,4847.67,4856.08,9.35,0.86,BULL,832,4
2026-02-05 05:19:00,4856.08,4862.44,4853.5,4860.39,8.94,4.31,BULL,921,4
2026-02-05 05:20:00,4860.41,4873.14,4855.25,4870.86,17.89,10.45,BULL,974,4
2026-02-05 05:21:00,4870.86,4888.4,4870.7,4881.04,17.7,10.18,BULL,1138,4
2026-02-05 05:22:00,4881.04,4881.14,4869.97,4872.24,11.17,8.8,BEAR,1116,4
2026-02-05 05:23:00,4872.17,4874.16,4866.6,4868.67,7.56,3.5,BEAR,987,4
2026-02-05 05:24:00,4868.68,4875.87,4868.58,4871.31,7.29,2.63,BULL,984,4
2026-02-05 05:25:00,4871.31,4877.81,4869.38,4877.2,8.43,5.89,BULL,927,4
2026-02-05 05:26:00,4877.16,4883.4,4871.85,4873.81,11.55,3.35,BEAR,1077,4
2026-02-05 05:27:00,4873.81,4874.26,4862.61,4866.89,11.65,6.92,BEAR,1133,4
2026-02-05 05:28:00,4866.89,4870.37,4861.35,4862.25,9.02,4.64,BEAR,1077,4
2026-02-05 05:29:00,4862.25,4868.63,4858.28,4858.93,10.35,3.32,BEAR,1027,4
2026-02-05 05:30:00,4858.9,4861.1,4848.52,4848.52,12.58,10.38,BEAR,1102,4
2026-02-05 05:31:00,4848.44,4858.88,4847.78,4854.47,11.1,6.03,BULL,1110,4
2026-02-05 05:32:00,4854.47,4866.31,4854.2,4865.78,12.11,11.31,BULL,914,4
2026-02-05 05:33:00,4865.78,4870.78,4858.63,4862.41,12.15,3.37,BEAR,820,4
2026-02-05 05:34:00,4862.41,4864.92,4858.57,4860.07,6.35,2.34,BEAR,518,4
2026-02-05 05:35:00,4860.07,4864.58,4857.62,4860.72,6.96,0.65,BULL,983,4
